본부명,지사명,영업소명,전화번호,팩스번호,우편번호,주소
대구경북,영천,청통와촌,054-706-2732,054-706-4732,38869,경상북도 영천시 청통면 한티길 76(죽정리 230-3)
대구경북,영천,북영천,054-706-2730,054-706-4730,38822,경상북도 영천시 매산숲길123(매산동996)
대구경북,영천,서포항,054-706-2745,054-706-4745,37527,경상북도 포항시 북구 기계면 대구포항고속도로 60
대구경북,영천,포항,054-706-2743,054-706-4743,37654,경상북도 포항시 남구 연일읍 대구포항고속도로 68
대구경북,고령,함양,055-711-2847,055-717-4847,50023,경상남도 함양군 함양읍 고운로 333
대구경북,고령,거창,055-711-2802,055-717-4802,50146,경상남도 거창군 거창읍 광주대구고속도로 121
대구경북,고령,가조,055-711-2801,055-717-4801,50118,경상남도 거창군 가조면 지산로 1412
대구경북,고령,해인사,055-711-2848,055-717-4848,50205,경상남도 합천군 야로면 돈평길 34
대구경북,고령,고령,054-706-2706,054-706-4706,40160,경상북도 고령군 쌍림면 쌍쌍로 951
대구경북,고령,동고령,054-706-2705,054-706-4705,40118,경상북도 고령군 성산면 성산로 955
대구경북,영주,남안동,054-706-2725,054-706-4725,36756,경상북도 안동시 일직면 간평길 324(조탑리447-3)
대구경북,영주,서안동,054-706-2726,054-706-4726,36621,경상북도 안동시 풍산읍 경서로 4548(노리317-2)
대구경북,영주,예천,054-706-2733,054-706-4733,36814,경상북도 예천군 보문면 보문로 716(작곡리77-4)
대구경북,영주,영주,054-706-2729,054-706-4729,36146,경상북도 영주시 장수면 장수로 2(화기리416-7)
대구경북,영주,풍기,054-706-2728,054-706-4728,36045,경상북도 영주시 봉현면?소백로 1648-25(대촌리449-1) 
대구경북,성주,선산,054-706-2709,054-706-4709,39133,경상북도 구미시 선산읍 중부내륙고속도로 124
대구경북,성주,남성주,054-706-2723,054-706-4723,40050,경상북도 성주군 용암면 중부내륙고속도로 74
대구경북,성주,성주,054-706-2722,054-706-4722,40056,경상북도 성주군 대가면 중부내륙고속도로 85
대구경북,성주,남김천,054-706-2713,054-706-4713,39667,경상북도 김천시 남면 중부내륙고속도로 104
대구경북,청송,동상주,054-706-2718,054-706-4718,37250,경상북도 상주시 낙동면 구잠2길 11
대구경북,청송,서의성,054-706-2734,054-706-4734,37372,경상북도 의성군 단북면 서부로 1997-19
대구경북,청송,북의성,054-706-2735,054-706-4735,37329,경상북도 의성군 단촌면 경북대로 6426-57
대구경북,청송,동안동,054-706-2724,054-706-4724,36735,경상북도 안동시 길안면 만음개골길8
대구경북,청송,청송,054-706-2738,054-706-4738,37418,경상북도 청송군 파천면 청송로 5377-59
대구경북,청송,동청송영양,054-706-2737,054-706-4737,37411,경상북도 청송군 진보면 경동로 5202-63
대구경북,청송,영덕,054-706-2727,054-706-4727,36450,경상북도 영덕군 강구면 원직리 당진영덕고속도로310
부산경남,울산,해운대송정,051-722-2514,051-722-2583,46076,부산광역시 기장군 기장읍 기장대로 116-125
부산경남,울산,기장일광,051-721-2554,051-723-2562,46048,부산광역시 기장군 일광면 기장대로 909-45
부산경남,울산,장안,051-727-3510,051-727-3570,46029,부산광역시 기장군 장안읍 기장대로 1561-67
부산경남,울산,온양,052-237-1170,052-237-1130,44971,울산광역시 울주군 온양읍 광청로 796-20
부산경남,울산,청량,052-260-6501,052-260-6503,44983,울산광역시 울주군 청량면 남창로 1181
부산경남,울산,문수,052-277-7501,052-277-7503,44960,울산광역시 울주군 청량면 웅촌로 1110
부산경남,울산,울산,052-254-8800,052-249-1650,44932,울산광역시 울주군 범서읍 백천2길 43
부산경남,울산,동부산,051-722-7515,051-722-7514,46076,부산광역시 기장군 기장읍 내리 산 148-4(소정길 13)
부산경남,울산,금정,051-793-2884,051-796-4884,46210,부산광역시 금정구 선동 590번지
부산경남,울산,기장철마,051-793-2885,051-796-4885,46049,부산광역시 기장군 철마면 백길리 29번지
부산경남,양산,서김해,055-711-2806,055-717-4806,50967,경상남도 김해시 골드루트로66번길 160
부산경남,양산,동김해,055-711-2808,055-717-4808,50937,경상남도 김해시 남해고속도로 278
부산경남,양산,북부산,051-793-2881,051-796-4881,46705,부산광역시 강서구 남해고속도로 281
부산경남,양산,대동,055-711-2809,055-717-4809,50806,경상남도 김해시 대동면 대동로 756-118
부산경남,양산,물금,055-711-2821,055-717-4821,50615,경상남도 양산시 물금읍 제방로 217
부산경남,양산,남양산,055-711-2820,055-717-4820,50635,경상남도 양산시 동면 양산대로 565
부산경남,양산,진영,055-711-2813,055-717-4813,50869,경상남도 김해시 진영읍 김해대로 653
부산경남,양산,광재,055-711-2810,055-717-4810,50805,경상남도 김해시 상동면 우계리 산 197
부산경남,양산,한림,055-711-2800,055-717-4800,50851,경상남도 김해시 한림면 한림로 36-49
부산경남,창원,마산,055-711-2832,055-717-4832,51189,경상남도 창원시 의창구 구암동정길 155
부산경남,창원,산인,055-711-2842,055-717-4842,52032,경상남도 함안군 산인면 신산로 107
부산경남,창원,동창원,055-711-2834,055-717-4834,51131,경상남도 창원시 의창구 동읍 의창대로 1082-52
부산경남,창원,진례,055-711-2812,055-717-4812,50870,경상남도 김해시 진영읍 서부로 337
부산경남,창원,장유,055-711-2811,055-717-4811,50983,경상남도 김해시 장유로 324번길 44-43
부산경남,창원,가락(개),051-793-2880,051-796-4880,46709,부산광역시 강서구 남해2지선고속도로 13(봉림동)
부산경남,창원,서부산(가락2),055-711-2807,055-717-4807,51021,경상남도 김해시 남해2지선고속도로 12(수가동)
부산경남,창원,북창원,055-711-2833,055-717-4833,51113,경상남도 창원시 의창구 북면 천주로 406-80
부산경남,진주,하동,055-711-2837,055-717-4837,52350,경상남도 하동군 금남면 섬진강대로 950
부산경남,진주,진교,055-711-2838,055-717-4838,52344,경상남도 하동군 진교면 경충로 1155-27
부산경남,진주,곤양,055-711-2814,055-717-4814,52504,경상남도 사천시 곤양면 곤양로 70-65
부산경남,진주,축동,055-711-2816,055-717-4816,52509,경상남도 사천시 축동면 서삼로 1063-55
부산경남,진주,사천,055-711-2815,055-717-4815,52510,경상남도 사천시 축동면 사천대로 2189 
부산경남,진주,진주,055-711-2823,055-717-4823,52825,경상남도 진주시 남해고속도로 194-1
부산경남,진주,문산,055-711-2824,055-717-4824,52853,경상남도 진주시 문산읍 동진로 645
부산경남,진주,진성,055-711-2827,055-717-4827,52621,경상남도 진주시 진성면 동부로 1359-15
부산경남,진주,지수,055-711-2826,055-717-4826,52610,경상남도 진주시 지수면 용봉로 7-30
부산경남,진주,군북,055-711-2841,055-717-4841,52061,경상남도 함안군 군북면 함마대로 395
부산경남,진주,장지,055-711-2840,055-717-4840,52062,경상남도 함안군 군북면 장백로 308
부산경남,진주,함안,055-711-2839,055-717-4839,52034,경상남도 함안군 가야읍 함안대로 703-55
부산경남,산청,서상,055-711-2845,055-717-4845,50002,경상남도 함양군 서상면 서상로 111
부산경남,산청,지곡,055-711-2846,055-717-4846,50014,경상남도 함양군 지곡면 함양로 2243
부산경남,산청,생초,055-711-2819,055-717-4819,52204,경상남도 산청군 생초면 통영대전고속도로 98
부산경남,산청,산청,055-711-2817,055-717-4817,52215,경상남도 산청군 금서면 통영대전고속도로 90
부산경남,산청,단성,055-711-2818,055-717-4818,52251,경상남도 산청군 단성면 통영대전고속도로 72
부산경남,산청,서진주,055-711-2825,055-717-4825,52647,경상남도 진주시 서장대로 44
부산경남,경주,범서,052-701-2891,052-701-4891,44917,울산광역시 울주군 범서읍 갈매정길 64-24
부산경남,경주,남경주,054-706-2704,054-706-4704,38211,경상북도 경주시 외동읍 산업로  2563-38
부산경남,경주,동경주,054-706-2703,054-706-4703,38121,경상북도 경주시 양북면 지저남동길 109-64
부산경남,경주,남포항,054-706-2744,054-706-4744,37894,경상북도 포항시 남구 정몽주로 39번길 56-27
부산경남,창녕,내서,055-711-2831,055-717-4831,51216,경상남도 창원시 마산회원구 내서읍 유통단지로 35-17
부산경남,창녕,달성,053-717-2791,053-715-4791,42973,대구광역시 달성군 옥포면 송촌길 229
부산경남,창녕,현풍,053-717-2792,053-715-4792,43007,대구광역시 달성군 현풍면 중부내륙지선고속도로 2
부산경남,창녕,창녕,055-711-2830,055-717-4830,50319,경상남도 창녕군 창녕읍 우포1대로 1513
부산경남,창녕,영산,055-711-2829,055-717-4829,50319,경상남도 창녕군 영산면 영산도천로 549
부산경남,창녕,남지,055-711-2828,055-717-4828,50357,경상남도 창녕군 남지읍 낙동로 637
부산경남,창녕,칠서,055-711-2843,055-717-4843,52015,경상남도 함안군 칠서면 유성로 13
부산경남,창녕,칠원,055-711-2844,055-717-4844,52020,경상남도 함안군 칠원면 오곡로 158-2
부산경남,고성,연화산,055-711-2805,055-717-4805,52900,경상남도 고성군 영오면 대가로 2155
부산경남,고성,고성,055-711-2804,055-717-4804,52912,경상남도 고성군 마암면 두호1길 125-19
부산경남,고성,동고성,055-711-2803,055-717-4803,52924,경상남도 고성군 거류면 송산로 421
부산경남,고성,북통영,055-711-2835,055-717-4835,53012,경상남도 통영시 광도면 남해안대로 1227
부산경남,고성,통영,055-711-2836,055-717-4836,53026,경상남도 통영시 용남면 기호로 25-52
부산경남,서울산,부산,051-793-2882,051-796-4882,46209,부산광역시 금정구 고분로 148
부산경남,서울산,노포,051-793-2883,051-796-4883,46204,부산광역시 금정구 고분로93번길 51
부산경남,서울산,양산,055-711-2822,055-717-4822,50565,경상남도 양산시 상북면 와곡2길 12-1
부산경남,서울산,통도사,052-701-2893,052-701-4893,44954,울산광역시 울주군 삼남면 반구대로 80
부산경남,서울산,서울산,052-701-2892,052-701-4892,44951,울산광역시 울주군 삼남면 반구대로 760
부산경남,서울산,활천,052-701-2890,052-701-4890,44910,울산광역시 울주군 두서면 활천내와로 30-25
부산경남,서울산,배내골,055-711-2849,055-717-4849,62683,경상남도 양산시 원동면 배내로 915
